seed,arm,event_type,subgraph,n_connections,n_tagged,tag_rate,h_tag_ratio,phi_tag_ratio,surprise_tag_ratio,novelty_tag_ratio,mean_h_tagged,mean_h_untagged,mean_phi_tagged,mean_phi_untagged,auc_novelty,auc_phi,auc_surprise,auc_pos,auc_neg,auc_inverted_h,auc_baseline_weight,auc_abs_dW,best_predictor,matched_phi_novelty_auc,matched_h_phi_auc,dW_l1_tagged,dW_l1_untagged,corr_abs_dW_tag_strength,subgraph_verdict
77,closed_loop,R,RR,4565,84,0.018401,1.030593,0.855244,0.890913,1.095184,0.092094,0.08936,0.348513,0.407501,0.552529,0.431074,0.4725,0.419183,0.519779,0.460468,0.425397,1.0,abs_dW,0.528556,0.39542,0.000216,0.0,1.0,raw_9C_geometry_root
77,divergent_warmup_replay,ALL,ALL,62790,493,0.007852,0.995702,0.94169,0.948105,1.026899,0.118005,0.118515,0.340138,0.3612,0.516289,0.476952,0.477401,0.476101,0.499601,0.496492,0.528014,1.0,abs_dW,0.502319,0.488915,0.0013,0.0,1.0,raw_9C_geometry_root
77,divergent_warmup_replay,ALL,LL,12488,64,0.005125,1.300051,1.070162,1.03326,0.948459,0.138053,0.106191,0.352088,0.329005,0.486721,0.51156,0.490482,0.450112,0.481466,0.413764,0.606945,1.0,abs_dW,0.523448,0.46766,0.00028,0.0,1.0,raw_9C_geometry_root
77,divergent_warmup_replay,ALL,LM,2926,0,0.0,,,,,,,,,,,,,,,,,nan,,,,,,null_or_insufficient
77,divergent_warmup_replay,ALL,LR,12516,72,0.005753,0.955383,1.094586,0.870446,0.925722,0.110503,0.115664,0.385198,0.351912,0.443072,0.543006,0.451019,0.533714,0.513198,0.488831,0.56788,1.0,abs_dW,0.453785,0.541185,0.000173,0.0,1.0,raw_9C_geometry_root
77,divergent_warmup_replay,ALL,ML,2828,0,0.0,,,,,,,,,,,,,,,,,nan,,,,,,null_or_insufficient
77,divergent_warmup_replay,ALL,MM,826,0,0.0,,,,,,,,,,,,,,,,,nan,,,,,,null_or_insufficient
77,divergent_warmup_replay,ALL,MR,3206,12,0.003743,0.55421,0.856733,1.64356,1.227716,0.064327,0.116069,0.299103,0.349121,0.645794,0.427964,0.744704,0.781961,0.40276,0.669824,0.715273,1.0,abs_dW,0.510265,0.540162,1.1e-05,0.0,1.0,raw_9C_geometry_root
77,divergent_warmup_replay,ALL,RL,12250,234,0.019102,1.028377,0.884704,0.907155,1.063476,0.126159,0.122678,0.331753,0.374987,0.540757,0.451036,0.457096,0.415666,0.501685,0.492007,0.515079,1.0,abs_dW,0.532125,0.472475,0.000601,0.0,1.0,raw_9C_geometry_root
77,divergent_warmup_replay,ALL,RM,2968,27,0.009097,0.717838,0.562164,1.02468,1.252697,0.086929,0.121098,0.205754,0.366003,0.637853,0.333887,0.564711,0.402005,0.567771,0.606647,0.596333,1.0,abs_dW,0.384672,0.445837,1.9e-05,0.0,1.0,raw_9C_geometry_root
