seed,arm,event_type,subgraph,n_connections,dW_support_rate,tag_support_rate,phi_proxy_positive_rate,phi_proxy_dW_match_rate,phi_proxy_false_positive_rate,phi_proxy_false_negative_rate,tag_dW_match_rate,dW_l1,tag_delta_l1,mean_phi_dW_supported,mean_phi_dW_unsupported,mean_h_dW_supported,mean_h_dW_unsupported,h_support_ratio,phi_support_ratio,corr_h_dW_support,corr_phi_dW_support,support_geometry_verdict
77,closed_loop,L,RM,1908,0.014151,0.014151,1.0,0.014151,0.985849,0.0,1.0,1.9e-05,1.9e-05,0.250032,0.368939,0.087641,0.12563,0.697612,0.677707,-0.05243,-0.056738,proxy_phi_support_insufficient
77,closed_loop,L,RR,8217,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,nan,0.407778,nan,0.138529,nan,nan,nan,nan,proxy_phi_support_insufficient
77,closed_loop,R,ALL,22425,0.007492,0.007492,1.0,0.007492,0.992508,0.0,1.0,0.0004,0.0004,0.350484,0.360664,0.092195,0.08003,1.15201,0.971772,0.019036,-0.003582,proxy_phi_support_insufficient
77,closed_loop,R,LL,4460,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,nan,0.323718,nan,0.073137,nan,nan,nan,nan,proxy_phi_support_insufficient
77,closed_loop,R,LM,1045,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,nan,0.326645,nan,0.073181,nan,nan,nan,nan,proxy_phi_support_insufficient
77,closed_loop,R,LR,4470,0.016107,0.016107,1.0,0.016107,0.983893,0.0,1.0,0.000173,0.000173,0.374722,0.353291,0.098495,0.077976,1.263155,1.060661,0.04766,0.011057,proxy_phi_support_insufficient
77,closed_loop,R,ML,1010,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,nan,0.34266,nan,0.077021,nan,nan,nan,nan,proxy_phi_support_insufficient
77,closed_loop,R,MM,295,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,nan,0.296698,nan,0.069652,nan,nan,nan,nan,proxy_phi_support_insufficient
77,closed_loop,R,MR,1145,0.01048,0.01048,1.0,0.01048,0.98952,0.0,1.0,1.1e-05,1.1e-05,0.218848,0.351392,0.055097,0.077812,0.708082,0.622803,-0.041109,-0.05447,proxy_phi_support_insufficient
77,closed_loop,R,RL,4375,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,nan,0.376626,nan,0.082979,nan,nan,nan,nan,proxy_phi_support_insufficient
77,closed_loop,R,RM,1060,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,nan,0.36124,nan,0.08081,nan,nan,nan,nan,proxy_phi_support_insufficient
77,closed_loop,R,RR,4565,0.018401,0.018401,1.0,0.018401,0.981599,0.0,1.0,0.000216,0.000216,0.348513,0.407501,0.092094,0.08936,1.030593,0.855244,0.006585,-0.032215,proxy_phi_support_insufficient
77,divergent_warmup_replay,ALL,ALL,62790,0.007852,0.007852,1.0,0.007852,0.992148,0.0,1.0,0.0013,0.0013,0.340138,0.3612,0.118005,0.118515,0.995702,0.94169,-0.000531,-0.007556,proxy_phi_support_insufficient
77,divergent_warmup_replay,ALL,LL,12488,0.005125,0.005125,1.0,0.005125,0.994875,0.0,1.0,0.00028,0.00028,0.352088,0.329005,0.138053,0.106191,1.300051,1.070162,0.028352,0.006943,proxy_phi_support_insufficient
